Compound_ID,Name,SMILES,Category,Notes
CMPD-001,Aspirin,CC(=O)Oc1ccccc1C(=O)O,Analgesic,Anti-inflammatory COX inhibitor
CMPD-002,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,NSAID,Widely used non-steroidal drug
CMPD-003,Paracetamol,CC(=O)Nc1ccc(O)cc1,Antipyretic,Acetaminophen pain reliever
CMPD-004,Caffeine,Cn1cnc2c1c(=O)n(c(=O)n2C)C,CNS Stimulant,Purine alkaloid xanthine
CMPD-005,Metformin,CN(C)C(=N)NC(=N)N,Antidiabetic,First-line medication for type 2 diabetes
CMPD-006,Nicotinamide,NC(=O)c1cccnc1,Vitamin,Water-soluble form of vitamin B3
CMPD-007,Sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,Antibiotic,Sulfonamide antibacterial agent
CMPD-008,Diclofenac,O=C(O)Cc1ccccc1Nc2c(Cl)cccc2Cl,NSAID,Potent analgesic anti-inflammatory
CMPD-009,Curcumin,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,Phytochemical,Natural polyphenol hydrophobic
CMPD-010,Atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,Statin,Lipid-lowering agent for cardiovascular disease
CMPD-011,Paclitaxel,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(=O)C)C2C(OC(=O)c4ccccc4)C5(O)CC(OC(=O)C(O)C(NC(=O)c6ccccc6)c7ccccc7)C(=C1C)C5(C)C,Chemotherapy,Microtubule stabilizer antineoplastic
CMPD-012,Remdesivir,CCC(CC)COC(=O)C(C)NP(=O)(OCc1ccc2c(c1)ncn2C3C(C(C(O3)C#N)O)O)Oc4ccccc4,Antiviral,Nucleotide analog prodrug
